id,item_ja,unit_ja,category_ja,image,description_ja,item_en,unit_en,category_en,description_en,infantsMale,infantsFemale,child1Male,child1Female,child2Male,child2Female,adultMale,adultFemale,agedMale,agedFemale,pet,url_yahoo,url_rakuten,url_amazon
43,生理用品,個セット,女性,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-43.png,災害時の避難生活で不足しがちなのが衛生用品。不足しているからといって長時間取り替えないでおくとかぶれの原因にもなります。普段使っているものを少し多めに買いそろえておきましょう。,Sanitary products,sets,Women,"Tending to be in short supply during refugee life in times of disaster are sanitary items. If not replaced for a long time because of short supply, it becomes a cause of rash. Keep in stock what you use routinely in quantity a little more than usual.",,,,,,,,,,,,https://bit.ly/3bzrXJE,https://bit.ly/3aJFVd3,https://amzn.to/2NwhAP1
44,基礎化粧品,個,女性,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-44.png,避難生活が長期化すると、いつも使っている化粧水や乳液がなくなってしまったり、買い足せなかったりすることが想定されます。乾燥や肌荒れを防ぐため、自分の肌に合う基礎化粧品をストックしておくと安心です。,Basic skin care products,items,Women,"If the disaster lasts, it is predicted that the daily skin-products may run out, and buying a new one may not be available. To precent dry skin or skin problems, it is better to stock the skin-care products that works on your skin.",,,,,,,,,,,,https://bit.ly/3uqOMYX,https://bit.ly/2ZGOpv7,https://amzn.to/2NsVhK2
45,粉ミルク スティックタイプ,食,乳幼児,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-45.png,調乳の場合はスティックタイプの粉ミルクを備えておくと便利です。哺乳瓶の衛生を保つことが難しい場合には、使い捨ての紙コップで授乳することも一つの手です。,Powdered milk (in stick-like pouch),Babies/infants,Babies/infants,"When preparring milk, it is convenient to have powderd infant formul. If it is difficult to maintain hygienic condition of baby bottle, feeding with disposable paper cup is one option.",6,6,0,0,0,0,0,0,0,0,,http://bit.ly/3qXSOpe,http://bit.ly/3sjr4M9,http://amzn.to/3uoTGFK
46,液体ミルク,食,乳幼児,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-46.png,調乳が不要な液体ミルクは、粉ミルクと併せて備えておくと便利です。粉ミルクは開封後1か月持ちますが、液体ミルクは開封後の飲み残しを捨てる必要があります。液体ミルクも未開封では常温で半年～1年の保管が可能ですので、災害時の手間を考え備蓄しておくとよいでしょう。,Liquid baby formula,servings,Babies/infants,"It is convenient to have liquid formula on hand, which requires no milk formulation, in addition to powdered formula. Although powdered formula is good for a month after opening the pack, it is necessary to discard the portion of liquid formula that is left unconsumed after opening. But unopened liquid formula can be preserved at room temperature for a half to full year, and you are advised to keep liquid formula in stock considering the time and effort required for milk preparation at the time of disaster.",6,6,0,0,0,0,0,0,0,0,,https://bit.ly/3ur8gfI,https://bit.ly/3ulvXGr,https://amzn.to/3aFnjus
47,アレルギー対応離乳食,食,乳幼児,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-47.png,赤ちゃんは食べ慣れていないものを食べることができない場合があるので、普段食べている離乳食を用意しましょう。特にアレルギー対応食は手に入りにくくなるので、しっかり準備しておきましょう。食べた後も器の代わりにしたり、フタをして入れ物にしたりできる、瓶タイプの物がおすすめです。,Weaning food (allergy-free),meals,Babies/infants,"As babies are sometimes unable to eat what they are not accustomed to, you are advised to have on hand baby food they usually take. Be prepared well in particular for allergy-free food which becomes difficult to obtain in times of disaster. As for containers of such food, it is recommended to have bottle types which can be substituted for tableware or which can be used as containers by putting a lid on them.",3,3,0,0,0,0,0,0,0,0,,http://bit.ly/3unR6zQ,http://bit.ly/2MmaNXG,http://amzn.to/3pMolZW
48,おむつ,個,乳幼児,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-48.png,災害時にはおむつなどの衛生用品は手に入りにくく、支援物資として配られてもサイズが合わないことも。不足しているからといって長時間取り替えないでいると、かぶれの原因にもなります。普段使っているものを少し多めに買いそろえておきましょう。,Babies/infants,Babies/infants,Babies/infants,"In times of disaster, diapers and other sanitary items are hard to come by, and what is distributed as relief supplies may not fit right in size. If not replaced with a new one for a long time because of supply shortage, babies may develop rash. It is recommended to purchase a little more of what is used daily.",10,10,0,0,0,0,0,0,0,0,,https://bit.ly/3aLhD2d,https://bit.ly/3qMozSf,https://amzn.to/2MeacqX
49,お尻拭き,パック,乳幼児,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-49.png,アルコールが入っていないので、ウェットティッシュとして大人が手や身体を拭いたり、テーブルなどを拭くときにも使えます。災害時に手に入りにくくなっても困らないように、普段使っているものを少し多めにストックしておきましょう。,Baby wipes,packs,Babies/infants,"Without alcoholic content, baby wipes can be used by adults as wet tissue to wipe their body or the table, etc. clean. To avoid being inconvenienced by short supply at the time of disaster, you are advised to keep in stock an extra amount of what you usually use.",1,1,0,0,0,0,0,0,0,0,,https://bit.ly/3dHmGCD,http://bit.ly/2ZAXw0g,http://amzn.to/2ZCi7Bx
50,使い捨て哺乳瓶,個,乳幼児,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-50.png,災害時に水道が使えず、哺乳瓶を洗うこともままならないという状況も考えられます。そのため、哺乳瓶も清潔に保てる使い捨てタイプのものを用意しておくことが重要です。,Disposable baby bottle,bottles,Babies/infants,It is conceivable at the time of disaster that you may be unable to use tap water and not afford to wash baby bottles clean. It is therefore important to keep ready for use disposable bottles that can be kept clean.,6,6,0,0,0,0,0,0,0,0,,https://bit.ly/3aLhDzf,http://bit.ly/3aHBakc,http://amzn.to/3bryWEx
51,おかゆ,食,高齢者,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-51.png,高齢者は、体内の水分量が少ないため、容易に脱水状態に陥る危険があります。体内の水分が失われると疲労感や食欲不振にもつながります。柔らかくて食べやすいレトルト食品や、濃厚流動食、とろみ剤なども活用しましょう。,Porridge & other soft food,packs,Elderly people,"Elderly people are at risk of becoming dehydrated easily due to the low body water content. Loss of water content can lead to fatigue or loss of appetite. Let's utilize rice gruel or other soft food, high density liquid diet, and thicker.",0,0,0,0,0,0,0,0,3,3,,http://bit.ly/3uzdPJo,http://bit.ly/3kdO4JL,http://amzn.to/2NLZBDX
52,入れ歯洗浄剤,錠,高齢者,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-52.png,入歯洗浄剤がないと汚れが落ち切らず、細菌感染などのおそれがあります。水が不足している状況では、ウェットティッシュやハンカチなどを指に巻いて汚れを落とすことや、歯ブラシだけで時間をかけ丁寧に歯を磨いた後に少量の水で口をすすぐなども有効です。,Denture cleaner,tablets,Elderly people,"Without a denture cleaner, stain fails to come off completely, raising the risk of bacterial infection. When water is in short supply, it is effective to remove stain with wet tissue or a handkerchief wrapped around fingers, or rinse your mouth with a small amount of water after taking time to brush dentures carefully with a toothbrush alone.",0,0,0,0,0,0,0,0,30,30,,https://bit.ly/3dEwkFZ,https://bit.ly/3qECfi6,http://amzn.to/3boH5cW
53,処方箋薬,医師・薬剤師に相談,高齢者,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-53.png,特に慢性的な疾患を持つ方等で、日常的に処方薬(注射薬等を含む。)を必要としている方は、手持ちの処方薬を切らさないよう、1週間程度のゆとりを持って定期的な受診を心がけましょう。,Prescription drugs,*Consult doctor/pharmacist.,Elderly people,"People who need medicine including injections on a daily basis, especcially those who have chronic illness, need to keep in mind to get looked at regularly in order no to run out of prescription drugs on hand.",,,,,,,,,,,,,,
54,補聴器用電池,2個で10日,高齢者,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-54.png,補聴器用電池など特別なサイズの電池は手に入れるまでに時間がかかる場合がありますので、少し多めに買いそろえておきましょう。,Battery for hearing aid,2 pieces per 10 days,Elderly people,"As it sometimes takes much time to obtain batteries for hearing aid  and other cells of special size, let's have slightly more batteries in stock than usual.",,,,,,,,,,,,https://bit.ly/3pK71oG,http://bit.ly/3boLPiK,http://amzn.to/37BxWge
55,フリーズドライ食品,適量,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-55.png,フリーズドライ食品は、少量のお湯で食べられ、災害時に不足しがちな野菜の栄養素が取れます。スープなので摂取しやすく副菜として用意しておくと有効です。たくさんの種類がありおいしいので普段の生活の中で定期的に食べながら、自分が好きな味のものをストックしましょう。,Freeze-dried food,Appropriate quantity,Food,"You can eat freeze-dried food in a small amount of hot water and take in nutritional elements of vegetables that tend to run short during a disaster. Coming in soup, it is easy to ingest and convenient if kept in stock as a side dish. As freeze-dried food is available in many varieties and delicious, keep your favorite types in stock while regularly consuming in daily life.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3pJHzj3,http://bit.ly/3pByM2A,http://amzn.to/3pODyKk
56,乾物,適量,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-56.png,乾物は保存期間が長く栄養素が豊富なので、栄養不足になりがちな災害時には有効な食材です。ミネラル・食物繊維が豊富な切り干し大根や寒天がおすすめです。,Dry food,Appropriate quantity,Food,"Being preserved long and rich in nutritional elements, dry food is an effective ingredient in times of disaster when you are prone to be undernourished. Recommendable are ""kiriboshi-daikon"" (dried strips of Japanese radish) and ""kanten"" (agar made from algae), both rich in dietary fiber.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3bBwrzQ,https://bit.ly/3qMzrzq,http://amzn.to/2McyilM
57,歯みがき用ウェットティッシュ,枚程度,断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-57.png,断水により歯磨きができず口の中が不衛生になると、免疫力の低い高齢者や小さな子供は肺炎などの感染症にかかりやすくなります。歯みがき用のウェットティッシュでこまめに歯を拭き、口の中をきれいに保ちましょう。アルコールフリーなのでボディケアや食器拭きにも使えます。,Teeth wipes,sheets(about),Water outage (sanitary measures),"If teeth cannot be brushed due to water outage and the mouth becomes unsanitary inside, elderly people and small children having weak immune systems are prone to pneumonia and other infectious diseases. Wipe the teeth clean frequently with wet tissue exclusive for brushing teeth and keep the mouth clean inside. Being free from alcohol, you can use such teeth wipes to clean the body or table.",0,0,10,10,10,10,10,10,10,10,,https://bit.ly/2NxfZbx,http://bit.ly/3qMCKa6,http://amzn.to/3uoZcIg
58,ウェットボディタオル,枚,断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-58.png,水道やガスが止まりお風呂に入れなくなったときには、タオルなどで体を拭くことになります。一般的なウェットティッシュだと体を拭くには小さいので、厚手で背中が拭ける大判サイズのウェットタオルの準備をしておくと安心です。,Body wipes,sheets,Water outage (sanitary measures),"When you cannot take a bath due to water and gas outage, you have no choice but to wipe the body with a towel, etc. Ordinary wet tissue is too small to do so, you are advised for peace of mind to keep in stock thick wipes big enough to clean the back.",1,1,1,1,1,1,1,1,1,1,,http://bit.ly/3qMeO6F,http://bit.ly/2ZGgHG1,http://amzn.to/3btwYDL
59,LEDランタン,最低3台,停電（照明）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-59.png,向けた方向しか照らせず片手がふさがってしまう懐中電灯よりも、部屋全体を明るくできるため室内照明として有効です。家族が同時に使うリビング・キッチン・トイレに1個ずつ用意しましょう。光量が弱い場合は、ヘッドライトなどと使い分けて活用しましょう。,LED camping lantern,3 units(at least),Blackout (lighting),"Rather than flashlights that can light a single direction only and keep one hand full, LED camping lights are more effective as room lighting because an entire room can be made luminous. It is recommended to have one lantern in place each for the living room, kitchen and restroom used simultaneously by family. When illumination is insufficient, use a headlamp, etc. together.",,,,,,,,,,,,https://bit.ly/3qLubfn,https://bit.ly/2NJLkro,http://amzn.to/2ZBLIL5
60,ヘッドライト,個,停電（照明）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-60.png,両手が空くヘッドライトは、料理や物を運ぶなど作業をする時に有効な照明です。家族各々が外出する時にも使うので、一人一個用意しましょう。,Blackout (lighting),unit,Blackout (lighting),"A headlamp, which leaves both hands free, is effective lighting when in work such as carrying dishes or goods with you. You are advised to have one headlamp in place for each family member as such lamps are used as well when family members go out individually.",1,1,1,1,1,1,1,1,1,1,,https://bit.ly/3bxqTpW,https://bit.ly/2NT8ifW,http://amzn.to/2ZDtgll
61,クーラーボックス,個,停電（食材保存）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-61.png,停電で冷蔵庫が使えなくなったとき、一部の食材をクーラーボックスに移し保冷剤を一緒に入れれば、臨時の冷蔵庫として活用できます。冷蔵庫とクーラーボックスの併用により食材を無駄にせず、効率よく食べるようにしましょう。,Cooler,unit,Blackout (foodstuff preservation),"When a fridge cannot be used due to a blackout, you can substitute a cooler as a makeshift fridge by transferring some foodstuff and adding an ice pack. It is recommended to avoid wasting foodstuff and eat efficiently by using a fridge and a cooler at the same time.",,,,,,,,,,,,https://bit.ly/3qLug2F,http://bit.ly/37yHHvh,http://amzn.to/3pIaZ0W
62,リュックサック,個,断水（水の運搬）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-62.png,断水時には給水拠点などから水を運ぶ必要も出てきます。もし災害時にエレベーターが止まり、階段を使って運ばないといけないときは、リュックに大きめのポリ袋を被せ、その中に水を入れて運べば、ポリタンクよりも楽に運べます。集合住宅の上の階に住んでいる方に有効な方法です。水を入れて重たくなっても運べるような大きさを選びましょう。,Backpack,unit,Water outage (water transport),"When water supply is interrupted, it becomes necessary to carry water from a feeding base or elsewhere. In case an elevator is halted and you have to use stairs, you are advised to put a pretty big plastic bag into a backpack and pour water into it. You can carry water more easily than in a plastic container. It is an effective method for people living on upper floors of collective housing. Select the size of a backpack that can be carried with full of water.",,,,,,,,,,,,https://bit.ly/3ul3ZKW,http://bit.ly/3pHDImz,http://amzn.to/3bwPcnV
63,ペットフード,,ペット,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/pet/img-01.png,災害時には人への支援が優先し、ペットフードの確保が困難になるケースがあります。大切なペットのためにも、飼い主の責任で、ペットフードをストックしておきましょう。,Pet food (for at least 5 days),,Pets,"In times of disaster, support for human beings takes precedence over anything else sometimes, making it difficult to secure pet food. Let's keep pet food in stock under the responsibility of owners for the sake of your precious pets as well.",,,,,,,,,,,1,http://bit.ly/3qKQPVf,http://bit.ly/3qLX0Zm,http://amzn.to/3pGCqs5
64,水,,ペット,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/pet/img-02.png,ペット用の水も考えてストックをしておきましょう。非常時はストレスから水を飲まなくなってしまう可能性も高いので、飲みやすい「軟水」を選ぶとよいでしょう。ミネラル分が多い硬水は、尿結石になる可能性があります。,Water (for at least 5 days)  for pets,,Pets,"It is recommended to keep water in stock for pets as well. Given a high possibility of pets stopping drinking water from stress in times of emergency, you are advised to choose ""soft water"" that is easy to drink. Hard water is rich in mineral content, possibly causing urinary tract stones.",,,,,,,,,,,1,https://bit.ly/2Nt1CVQ,http://bit.ly/3aI2TRA,http://amzn.to/3aHBHm7
65,ペット用 首輪 リード,,ペット,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/pet/img-03.png,災害時の混乱によって、ペットと離れ離れになる可能性もあります。ペットが保護された際に飼い主の元に戻れるよう、所有者が分かるようにしておくこともが重要です。,Spare collar/leash  for pets,,Pets,You may get separated from your pets amid confusion at the time of disaster. It is important to keep the identity of owners easily known to anyone so that pets may return to their owners when saved.,,,,,,,,,,,1,http://bit.ly/3uiaBJY,http://bit.ly/3qKfM3m,http://amzn.to/3swFwAP
66,ペット用のトイレ用品,,ペット,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/pet/img-04.png,生活環境の衛生面を保つ上ではペットのトイレ事情も重要です。犬にはペットシーツ、猫には猫砂のように、ペットに合わせたトイレ用品を備蓄することで災害時の生活衛生面保全に努めましょう。,Toilet goods for pets,,Pets,Toilet conditions of pets are important to maintain good hygiene of the living environment. Let's try to keep the sanitary aspect of refugee life clean by keeping toilet goods for pets in stock in a manner that matches them (e.g. pet sheets for dogs and kitty litter for cats).,,,,,,,,,,,1,http://bit.ly/3bw2zVl,http://bit.ly/2P5REKv,http://amzn.to/2ZGnZth
67,ペット用の食器,,ペット,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/pet/img-05.png,ペットフードが散らばるなどの衛生上の問題を防ぐため、食器のストックもしておきましょう。,Eating utensils  for pets,,Pets,Let's keep eating utensils for pets in stock to prevent sanitary problems such as scattered pet food.,,,,,,,,,,,1,http://bit.ly/3dAYulh,http://bit.ly/3qNfx7p,http://amzn.to/37EsGIm
